,title,price,links,images
41,"Lenovo ThinkPad X270 12.5"" Intel Core i7-6600U,512GB SSD ,8GB RAM,Win10",175.5,https://www.ebay.com/itm/226478366213?_skw=laptop&hash=item34bb299e05:g:3QAAAOSw7Lxmxr3E,https://i.ebayimg.com/thumbs/images/g/fg0AAOSwsQBkynRM/s-l300.webp
42,"15.6"" Lenovo Gaming Laptop: Intel i7 Quad Core! 16GB RAM~512GB SSD! Windows 10!",289.97,https://www.ebay.com/itm/115691174137?_skw=laptop&hash=item1aefbb38f9:g:YE0AAOSw58dnTdcj,https://i.ebayimg.com/thumbs/images/g/rIwAAOSwkxVkTFbY/s-l300.webp
44,"2023 ASUS Zenbook UM3402YA 14"" 2.8K OLED Touch Laptop Ryzen5 7530U 8GB 256GB W11",375.0,https://www.ebay.com/itm/375180679177?_skw=laptop&epid=20066982500&hash=item575a82d809:g:qB4AAOSw9H9nIR-5,https://i.ebayimg.com/thumbs/images/g/cEMAAOSw~uZnQKlj/s-l300.webp
45,"NEW Dell Latitude 9330 13"" QHD+ TOUCH | 12th CORE I7 | 32GB RAM BUSINESS LAPTOP",850.0,https://www.ebay.com/itm/267084593884?_skw=laptop&hash=item3e2f7b7adc:g:3FcAAOSwTkxnUHrk,https://i.ebayimg.com/thumbs/images/g/7GgAAOSwMYJnNVG3/s-l300.webp
46,"Microsoft Surface Laptop 2 13.5"" Touch Core i5 8GB RAM 256GB SSD W10 Platinum",139.0,https://www.ebay.com/itm/226392062131?_skw=laptop&hash=item34b604b8b3:g:Yp8AAOSwsZJnBt3G,https://i.ebayimg.com/thumbs/images/g/OuIAAOSwUKhl7lB5/s-l300.webp
47,Lenovo ThinkPad T14 Gen 1 Business Laptop Core i7 16GB RAM 512GB SSD Windows 11,351.54,https://www.ebay.com/itm/256714410251?_skw=laptop&hash=item3bc55f090b:g:cW8AAOSwebtnTEFu,https://i.ebayimg.com/thumbs/images/g/UxMAAOSw3khmwDkQ/s-l300.webp
48,HP ProBook x360 11 G7 EE Laptop Intel Pentium Silver N6000 8GB DDR4 256GB SSD,129.0,https://www.ebay.com/itm/176716458109?_skw=laptop&hash=item29251f287d:g:0g0AAOSw5XhnTlSX,https://i.ebayimg.com/thumbs/images/g/LFwAAOSww-5nSe9y/s-l300.webp
49,"Lenovo ThinkPad V14 14"" Laptop Ryzen 7 4700U 6-Core 8GB RAM 250GB SSD Windows 11",258.75,https://www.ebay.com/itm/254855107832?_skw=laptop&hash=item3b568c54f8:g:SdcAAOSwhNJnSok0,https://i.ebayimg.com/thumbs/images/g/GOYAAOSwNdhnSm3u/s-l300.webp
50,"Dell Latitude 15"" Laptop PC Computer Core i5 16GB RAM 240GB SSD Windows 10 WiFi",191.47,https://www.ebay.com/itm/283951308518?_skw=laptop&hash=item421cd11ee6:g:M3IAAOSwRTNnTmDd,https://i.ebayimg.com/thumbs/images/g/P60AAOSwbolnLmpp/s-l300.webp
51,"Microsoft Surface Pro 5 1807 12.3"" i5-7300U 2.60GHz 8GB RAM 256GB SSD LTE W10P G",164.99,https://www.ebay.com/itm/156308554686?_skw=laptop&hash=item2464b743be:g:fg0AAOSwsQBkynRM,https://i.ebayimg.com/thumbs/images/g/AIkAAOSwgGFm8c1f/s-l300.webp
52,"Lenovo ThinkPad T480 14"" FHD i5 8350u 16GB 512gb NVME WIFI CAM WIN 11 PRO laptop",244.99,https://www.ebay.com/itm/226052371811?_skw=laptop&hash=item34a1c57563:g:rIwAAOSwkxVkTFbY,https://i.ebayimg.com/thumbs/images/g/4l8AAOSwOjFnGQDZ/s-l300.webp
53,"Dell Latitude 7480 14"" Laptop PC Computer Core i5 8GB RAM 128GB SSD Windows 10",133.75,https://www.ebay.com/itm/284867887623?_skw=laptop&hash=item4253730207:g:M98AAOSwK-NnRW45,https://i.ebayimg.com/thumbs/images/g/Vt4AAOSwB~1nSisV/s-l300.webp
54,"15.6"" Lenovo ThinkPad Laptop PC: Intel i5! 16GB RAM~480GB SSD! Windows 11 Pro!",249.95,https://www.ebay.com/itm/116069717012?_skw=laptop&hash=item1b064b5414:g:cEMAAOSw~uZnQKlj,https://i.ebayimg.com/thumbs/images/g/qB4AAOSw9H9nIR-5/s-l300.webp
55,Dell Latitude 7400 14” Laptop Intel i5 Quad-Core 8GB RAM 256GB SSD Windows 11,206.78,https://www.ebay.com/itm/267023034235?_skw=laptop&hash=item3e2bd0277b:g:7GgAAOSwMYJnNVG3,https://i.ebayimg.com/thumbs/images/g/hSEAAOSw24lnPKKH/s-l300.webp
56,CHUWI 13.3'' Laptop Computer PC Windows 11 Home PC 2.7GHz 8GB 256GB HD WIFI,159.99,https://www.ebay.com/itm/335503510629?_skw=laptop&hash=item4e1d914c65:g:OuIAAOSwUKhl7lB5,https://i.ebayimg.com/thumbs/images/g/SBsAAOSwUXRnEVU9/s-l300.webp
57,Lenovo N23 Winbook Laptop Intel 1.60 GHz 4GB Memory 64GB HD Touchscreen Win 10,89.99,https://www.ebay.com/itm/116293240019?_skw=laptop&hash=item1b139e04d3%3Ag%3AUxMAAOSw3khmwDkQ&var=416532895367,https://i.ebayimg.com/thumbs/images/g/RdIAAOSwq4tmonUu/s-l300.webp
59,Lenovo ThinkPad T480S 14-inch (2018) - Core i7-8650U - 16 GB - SSD 512 GB Refurb,225.0,https://www.ebay.com/itm/316010967684?_skw=laptop&hash=item4993b8b284:g:LFwAAOSww-5nSe9y,https://i.ebayimg.com/thumbs/images/g/kokAAOSwEwNmqVeq/s-l300.webp
60,"Fujitsu LifeBook Laptop PC 14"" HD Core i5 16GB RAM 256GB SSD Windows 11 Pro WiFi",186.29,https://www.ebay.com/itm/285864516320?_skw=laptop&hash=item428eda5ae0:g:GOYAAOSwNdhnSm3u&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmz4lP3HmbY5g4FBw8pHrmrItRafV4c%2BVLvxWps9LLnYqZouhfa67arpnWMO0QvJOiQGAXNs2CFFaybLpsSbMT1nGSUgdfN%2F7%2BJbhhPzs5Wtqr1aSMFmD2ktzGUm5pmpwy8EqEWPLIvt6YaickrHirb80qrjaL25V3n4O2RuZi8egNDGVjZsAJpdAx%2FHwucZY%2BCxGa4EIo4GdiGX%2B2Sp%2BFU6hhcIyOIZsay8X06YSakDuo5D4NqMqKwpT1CN%2FbzIM9VjRjK9EZF1kjGLuh%2FGE6s%7Ctkp%3ABFBM4KjB9_Jk,https://i.ebayimg.com/thumbs/images/g/ODEAAOSwkSlnUP-V/s-l300.webp
61,"15.6"" Dell Latitude Laptop: Intel Core i5! 16GB RAM~480GB SSD Windows 10 Pro!",199.95,https://www.ebay.com/itm/116402366567?_skw=laptop&hash=item1b1a1f2867:g:P60AAOSwbolnLmpp&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkYgM%2BzmL%2BFFPNqMK0yt8m%2FiO9RaRGN4shvNMbB51%2BEgzs%2BnfENzNDUU9Ex0EJ5xX1I0Kj5hpZ8NRvqexwFhH9NHt2tZrzlRGOGJIGc92oHRuIsBISlrAQdi0r4jDgq7rl6cYT3Tz4xun7MC9knoioLjFRhsxCa%2BJD4qtFAta%2Bk8wBHFkoJHIEQ%2BeZ6K7rG94MgeZvF97Yx67zdjpLcofAk67ZJygE7FzoOKk3jAZvupqCwOdEpWBxCVHcWqY6pWBqKF6tjsuWISYPXiWaXvexd%7Ctkp%3ABFBM4KjB9_Jk,https://i.ebayimg.com/thumbs/images/g/1o4AAOSwthRnLOo8/s-l300.webp
62,Dell Chromebook 3100 2-in-1 Touch Screen Laptop Intel 2.6GHz CPU 4GB Ram 32GB HD,89.99,https://www.ebay.com/itm/116336750467?_skw=laptop&hash=item1b1635ef83%3Ag%3AAIkAAOSwgGFm8c1f&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnaQKqaXORmmfeojOA7QJQKIq7khehVgwRG5Jgevy%2FfSZtsiBSZUznmshwAgMyLXCUJkxMq8RVZf%2FuMq7G5OmKGdvqbUeUsEgaeLzj8K7jB36FqVy5uf6fAdr0LEDDjuh2gjAYESaQZipuSrbKuD4FDNWFmFAa0Qrs9%2FA9zcRqNnya7x%2BeCtUVaHL2WgwdfzveNbMZvDQ6kOYiY34lG0P8C9TeRETNK9wkqEzP2sNVStUyqX9oPaFdMrhUctSB6bgslgbE9E%2FvQorV6nSLgKYKR%7Ctkp%3ABFBM4KjB9_Jk&var=416591162978,https://i.ebayimg.com/thumbs/images/g/aO0AAOSw7Q9m7YGK/s-l300.webp
63,"~CD/DVD DRIVE~ 14"" Dell Latitude Laptop PC: intel i5 ! 16GB RAM~750GB Storage!",139.95,https://www.ebay.com/itm/116368393379?_skw=laptop&hash=item1b1818c4a3:g:4l8AAOSwOjFnGQDZ&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkearSs6uDPTuOkWCqMcx2hOjE8win%2BlcGeRAA4TzRKEY4%2FhQR7ZjCM5YkpcELg9rLMSZjR9pnEYw%2FXzeR8Yjcx3CoRWw1Wo3GrCMcpBCslHaido4wDqm1ohQ2uX4TlxmIxLhxyhr6EqlQzyuDLnWw7bwYE%2B6rn40rs1L98K9dnsySM%2F1RlvTV1pVCSGHYsf2voaDj%2FOj02wLYpXdZQCEnGMf7X73Mgf1q3lhB3WE1DqYzHdP4%2BtRsttYJ%2FpK6%2F%2BJ%2BVe04IpFsv1aCH69oQuD5c%7Ctkp%3ABFBM4KjB9_Jk,https://i.ebayimg.com/thumbs/images/g/H2sAAOSwalxm~VD6/s-l300.webp
64,"Alienware m15 R3 15.6in, 512GB SSD, 16GB RAM, i7-10750H, RTX 2060 Super, W10H",460.0,https://www.ebay.com/itm/167147750680?_skw=laptop&hash=item26eac84518:g:Vt4AAOSwB~1nSisV&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKm3dUGGExRgrzcQxl0K0cGCKev%2Bu2qLv2pkSpDvLZkEuPuic1xfTSW05wTt8CJ3Yq499o2q1QCDNn4WMZh%2Fvwt4IUKRpRRjCFC43lL87ZC3D0SezofsSvR54HtdjMg6aYG0BmP9BKb2oUGSgmeG6J%2F3nd8AlBX%2B%2FCCyJOmaHwfsKCzLhNGjkj6GoGfww0jbkLxKN5W8iMntR0qc9tf3oWQfLkpihrq3H0RdN4%2FZqBw7%2FdhEluHUljGDYouEEFNJDsMHtn%2BWNgqRo70xlk%2FhI%2FgH%7Ctkp%3ABk9SR-CowffyZA,https://i.ebayimg.com/thumbs/images/g/DrcAAOSwrUVnI-AJ/s-l300.webp
65,"2023 ASUS Zenbook UM3402YA 14"" 2.8K OLED Touch Laptop Ryzen5 7530U 8GB 256GB W11",375.0,https://www.ebay.com/itm/375180679177?_skw=laptop&epid=20066982500&hash=item575a82d809:g:qB4AAOSw9H9nIR-5&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnzXAxPvYj%2B5erUpFvvxZW7j6GvY7Fo958EBm3liBNrfzgNmmVQut%2BCavEUWxOTzokYYM2DEnlqY13jF5%2B%2FjgRqc%2Bo2%2Br95yZf5EJxankYUyteiRlYrfpfDKbhfQJIUP6kPtyppWe9HmGwXkyelmvrEj8JF7KbfH5Cz37giQmbBJ5Vigartgor4XOouzBIROq1MORR%2F%2BK5IR0ZS6mFeuDFH5I6x6L4OHfjfkIgeCrwoTw%3D%3D%7Ctkp%3ABk9SR-CowffyZA,https://i.ebayimg.com/thumbs/images/g/LFwAAOSww-5nSe9y/s-l300.webp
66,2-in-1 TouchScreen DELL Laptop/Tablet: Intel i5! 8GB RAM~256GB SSD! Windows 11!,194.95,https://www.ebay.com/itm/116075737839?_skw=laptop&hash=item1b06a732ef:g:hSEAAOSw24lnPKKH&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKkEB4ZCY2Ll3IcZNoxMzOUqFuz2sst%2FaJAUelg3E0R6Xg2BNV0iw9ZLZyw%2BNzrNjFwLfCtJo1QYi9AJ5O%2BUwFb2JrPJPCx0Fh19wEv4r1WIEA5IRUSDIlq2%2Fja7iohQh7rJm9tNHfWoj8naJXHTYjvFzGJA1nUEp%2FfPcBrVOJW9GLZ4LKYL0FUEfrSQ7tYUcdpEYm2xYMgvlXBUGiM61YDEWdZttln0tW3tlZ5mboMgAQ%3D%3D%7Ctkp%3ABk9SR-CowffyZA,https://i.ebayimg.com/thumbs/images/g/dw4AAOSwzB9nERD0/s-l300.webp
67,"HP Elitebook 830 G8 13.3"" FHD TS Laptop Intel i7-1185G7 3GHz 32GB 512GB W11P",329.99,https://www.ebay.com/itm/387502998584?_skw=laptop&hash=item5a38fa8438:g:SBsAAOSwUXRnEVU9&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmMb36JF5qifv5RJtJkD1CqtxeumeBamEQNEcVvCaOJ6G4jdsvj%2Fe8xmYftgpyf%2FMeulyM6I8NkKugtR8QqiKrztX2N04ns3v35uxO3vGocRpFoMYzuPgb8QS51t0X818NnKkNd53eehufFWj0dvCvwJ32yJ6AgbANDuc8YNjJ71UhO1D0Yqtf%2Ff8YyL02wRQFHasACiPciPpJwcsOOPjg2RbSA0waqCS1Ep2GGpqykGZcaFPWVtqEvltvms0pZ6SSvV%2ByIxp8FQtchwvg6QKxQ%7Ctkp%3ABk9SR-CowffyZA,https://i.ebayimg.com/thumbs/images/g/~zMAAOSwAhxnEsiy/s-l300.webp
